OBJECTID;ACC_ID;ACC_ESTAT;ACC_CODI_NAT;ACC_GRAVETAT;ACC_DATA;ACC_HORA;ACC_DEMARCACIO;ACC_ZONA;ACC_CARRETERA;ACC_PK;ACC_POS_;ACC_MUNICIPI;ACC_NOM_CARRER;ACC_NUM_PORTAL;ACC_NOM_CARRER2;ACC_PK_;ACC_OFFSET_;ACC_X_;ACC_Y_;ACC_SCORE_;ACC_ADREÇA_NORMALITZADA_;ACC_CARRETERA_;ACC_PKFORMAT_;ACC_NOM_DIA_ACC;ACC_TIPUS_DIA_ACC;ACC_NUM_MORTS;ACC_NUM_MORTS_30DIES;ACC_NUM_VICTIMES_GREUS;ACC_NUM_VICTIMES_LLEUS;ACC_NUM_ILLESOS;ACC_NUM_UNITATS_IMPLI;ACC_TIPUS;ACC_TIPUS_VIA;ACC_NUM_PERS_IMPLI;ACC_ANY;ACC_DIASET;ACC_SUBZONA;ACC_TIPUS_POSICIONAMENT_;ACC_SUBTIPUS_ACCIDENT;ACC_NUM_VICTIMES;ACC_DEMARCACIO_ID;ACC_COMARCA_ID;ACC_COMARCA;ACC_SUPERFICIE;ACC_LLUMINOSITAT;ACC_BOIRA;ACC_VISIBILITAT;ACC_CIRCULACIO;ACC_CIRCULACIO_MESURES_ESP;ACC_AMB_FUGA;ACC_VENT;ACC_INFLUIT_CARACT_ENTORN;ACC_INFLUIT_FERM_CALCADA;ACC_INFLUIT_SOLCS_RASES;ACC_INFLUIT_OBJ_CALCADA;ACC_INFLUIT_LLUMINOSITAT;ACC_CLIMATOLOGIA;ACC_INFLUIT_ESTAT_CLIMA;ACC_INFLUIT_BOIRA;ACC_INFLUIT_VISIBILITAT;ACC_INFLUIT_CIRCULACIO;ACC_INFLUIT_MESU_ESP;ACC_POSICIO_VEHICLES_VIA;ACC_POSICIO_VEHICLES_CALCADA;ACC_POSICIO_VEHICLES_CARRIL;ACC_SENTIT_VEHICLES;ACC_COORD_GEO_IMPACTE;ACC_COORD_GEO_IMPACTE_X_;ACC_COORD_GEO_IMPACTE_Y_;ACC_CORRECCIO_MANUAL_DIBA_;ACC_INFORME_SIDAT;SHAPE;x;y
12;2023021618;Accidents tancats;001641/23/ARTCENTRAL;Accident lleu;de juny 12, 2023;16.54;Barcelona;Zona urbana;BV-5303;5.1;5157;SEVA;0;;99;5;106;437761;4632742;;;BV-5303;5+106;Feiners;dill-dij;0;0;0;1;2;2;Col.lisió de vehicles en marxa;Carretera convencional;3;2023;1;Travessera;Per Coordenades;Col·lisió frontal;1;8;24;Osona;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0437761.28,4632742.68;437761;4632742;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023021618"" target=""_blank"">Informe SIDAT</a>";;437761;4632742
13;2023041377;Accidents tancats;003571/23/ARTCENTRAL;Accident lleu;de desembre 16, 2023;12.36;Barcelona;Carretera;BP-1101;6.5;6434;BRUC, EL;0;;99;6;506;397096;4611185;;;BP-1101;6+506;CapDeSetmana;dis;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;6;Carretera;Per Coordenades;Resta sortides de via;1;8;6;Anoia;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0397096.06,4611185.95;397096;4611185;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023041377"" target=""_blank"">Informe SIDAT</a>";;397096;4611185
14;2023029321;Accidents tancats;002415/23/ARTCENTRAL;Accident lleu;de setembre 2, 2023;11.11;Barcelona;Carretera;BV-4135;2.9;2906;AVIA;0;;99;2;928;404315;4659239;;;BV-4135;2+928;CapDeSetmana;dis;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;6;Carretera;Per Coordenades;Caiguda en la via;1;8;14;Bergueda;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0404315.43,4659239.97;404315;4659239;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023029321"" target=""_blank"">Informe SIDAT</a>";;404315;4659239
15;2023009355;Accidents tancats;000787/23/ARTMNORD;Accident lleu;de març 9, 2023;20.41;Barcelona;Carretera;BV-5001;8.2;8176;MONTCADA I REIXAC;0;;99;8;198;432719;4593506;;;BV-5001;8+198;Feiners;dill-dij;0;0;0;1;0;1;Col.lisió d'un vehicle contra un obstacle de la calcada;Carretera convencional;1;2023;4;Carretera;Per Coordenades;Xoc amb animal a la calçada;1;8;40;Valles Occidental;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0432719.98,4593506.65;432719;4593506;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023009355"" target=""_blank"">Informe SIDAT</a>";;432719;4593506
16;2023042438;Accidents tancats;004414/23/ARTMNORD;Accident lleu;de desembre 25, 2023;14.04;Barcelona;Carretera;BV-5001;16.6;16626;MONTORNES DEL VALLES;0;;99;16;612;437645;4599598;;;BV-5001;16+612;Feiners;dill-dij;0;0;0;1;3;3;Col.lisió de vehicles en marxa;Carretera convencional;4;2023;1;Carretera;Per Coordenades;Fregament o col·lisió lateral;1;8;41;Valles Oriental;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0437645.03,4599598.63;437645;4599598;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023042438"" target=""_blank"">Informe SIDAT</a>";;437645;4599598
17;2023039100;Accidents tancats;003308/23/ARTMETROPO;Accident lleu;de novembre 27, 2023;12.43;Barcelona;Carretera;BV-2249;4.1;4068;GELIDA;0;;99;4;90;402887;4589319;;;BV-2249;4+90;Feiners;dill-dij;0;0;0;1;1;2;Col.lisió de vehicles en marxa;Carretera convencional;2;2023;1;Carretera;Per Coordenades;Fregament o col·lisió lateral;1;8;3;Alt Penedes;Sec i net;De dia, dia fosc;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0402887.90,4589319.87;402887;4589319;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023039100"" target=""_blank"">Informe SIDAT</a>";;402887;4589319
18;2023031721;Accidents tancats;003109/23/ARTMNORD;Accident lleu;de setembre 21, 2023;18.17;Barcelona;Carretera;BV-5001;9.6;9572;MONTCADA I REIXAC;0;;99;9;583;433376;4594610;;;BV-5001;9+583;Feiners;dill-dij;0;0;0;2;1;3;Col.lisió de vehicles en marxa;Carretera convencional;3;2023;4;Carretera;Per Coordenades;Encalç;2;8;40;Valles Occidental;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0433376.99,4594610.65;433376;4594610;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023031721"" target=""_blank"">Informe SIDAT</a>";;433376;4594610
19;2023015903;Accidents tancats;001143/23/ARTCENTRAL;Accident lleu;d’abril 29, 2023;2.36;Barcelona;Carretera;C-16;91.3;91308;OLVAN;0;;99;91;282;406731;4656107;;;C-16z;91+282;CapDeSetmana;dis;0;0;0;2;0;2;Col.lisió de vehicles en marxa;Carretera convencional;2;2023;6;Carretera;Per Coordenades;Encalç;2;8;14;Bergueda;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0406731.41,4656107.95;406731;4656107;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023015903"" target=""_blank"">Informe SIDAT</a>";;406731;4656107
20;2023000836;Accidents tancats;000059/23/ARTMNORD;Accident greu;de gener 5, 2023;11.53;Barcelona;Carretera;BV-5103;3.6;3600;LLINARS DEL VALLES;0;;NA;3;581;447515;4607743;;;BV-5103;3+581;Feiners;dill-dij;0;0;1;0;1;2;Col.lisió de vehicles en marxa;Carretera convencional;2;2023;4;Carretera;Per Coordenades;Envestida (frontal lateral);1;8;41;Valles Oriental;Sec i net;De dia, dia clar;No n'hi ha;Sense especificar;Circulació fluïda;No n'hi ha;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0447515.11,4607743.56;447515;4607743;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023000836"" target=""_blank"">Informe SIDAT</a>";;447515;4607743
21;2023031066;Accidents tancats;003066/23/ARTMNORD;Accident lleu;de setembre 18, 2023;16.18;Barcelona;Carretera;BV-5001;9;8974;MONTCADA I REIXAC;0;;99;8;995;433156;4594157;;;BV-5001;8+995;Feiners;dill-dij;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;1;Carretera;Per Coordenades;Caiguda en la via;1;8;40;Valles Occidental;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0433156.98,4594157.65;433156;4594157;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023031066"" target=""_blank"">Informe SIDAT</a>";;433156;4594157
22;2023023163;Accidents tancats;001805/23/ARTCENTRAL;Accident lleu;de juny 30, 2023;11.07;Barcelona;Zona urbana;C-1411;59.6;59572;PUIG-REIG;0;;99;59;598;407295;4646417;;;C-1411z;59+598;Feiners;div;0;0;0;2;1;2;Col.lisió de vehicles en marxa;Carretera convencional;3;2023;5;Travessera;Per Coordenades;Envestida (frontal lateral);2;8;14;Bergueda;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0407295.34,4646417.93;407295;4646417;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023023163"" target=""_blank"">Informe SIDAT</a>";;407295;4646417
23;2023027653;Accidents tancats;002690/23/ARTMNORD;Accident lleu;d’agost 13, 2023;2.28;Barcelona;Carretera;BV-5122;2;2003;TORDERA;0;;99;2;0;474754;4617351;;;BV-5122;2+0;CapDeSetmana;dg;0;0;0;1;0;1;Col.lisió d'un vehicle contra un obstacle de la calcada;Carretera convencional;1;2023;7;Carretera;Per Coordenades;Xoc amb animal a la calçada;1;8;21;Maresme;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0474754.22,4617351.37;474754;4617351;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023027653"" target=""_blank"">Informe SIDAT</a>";;474754;4617351
24;2023006891;Accidents tancats;000453/23/ARTCENTRAL;Accident lleu;de febrer 18, 2023;11.33;Barcelona;Carretera;BP-1101;3.7;3651;BRUC, EL;0;;99;3;697;396656;4609098;;;BP-1101;3+697;CapDeSetmana;dis;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;6;Carretera;Per Coordenades;Resta sortides de via;1;8;6;Anoia;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0396656.04,4609098.95;396656;4609098;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023006891"" target=""_blank"">Informe SIDAT</a>";;396656;4609098
25;2023028022;Accidents tancats;002291/23/ARTMETROPO;Accident lleu;d’agost 17, 2023;19.01;Barcelona;Carretera;BV-2002;2.2;2033;SANT VICENC DELS HORTS;0;;99;2;208;417612;4582293;;;BV-2002;2+208;Feiners;dill-dij;0;0;0;1;1;2;Col.lisió de vehicles en marxa;Carretera convencional;2;2023;4;Carretera;Per Coordenades;Encalç;1;8;11;Baix Llobregat;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0417612.87,4582293.75;417612;4582293;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023028022"" target=""_blank"">Informe SIDAT</a>";;417612;4582293
26;2023023604;Accidents tancats;002274/23/ARTMNORD;Accident lleu;de juliol 7, 2023;11.01;Barcelona;Carretera;BV-5112;1;906;SANT CELONI;0;;99;0;897;457891;4614306;;;BV-5112;0+897;Feiners;div;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;5;Carretera;Per Coordenades;Caiguda en la via;1;8;41;Valles Oriental;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0457891.17,4614306.49;457891;4614306;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023023604"" target=""_blank"">Informe SIDAT</a>";;457891;4614306
27;2023023737;Accidents tancats;002299/23/ARTMNORD;Accident lleu;de juliol 9, 2023;11.32;Barcelona;Carretera;BV-5119;2.1;1998;FOGARS DE MONTCLUS;0;;99;2;96;453651;4619640;;;BV-5119;2+96;CapDeSetmana;dg;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;7;Carretera;Per Coordenades;Caiguda en la via;1;8;41;Valles Oriental;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;Si;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0453651.21,4619640.53;453651;4619640;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023023737"" target=""_blank"">Informe SIDAT</a>";;453651;4619640
28;2023041098;Accidents tancats;003490/23/ARTMETROPO;Accident lleu;de desembre 13, 2023;14.13;Barcelona;Carretera;BV-2127;1;669;VILAFRANCA DEL PENEDES;0;;99;1;0;391291;4579299;;;BV-2127;1+0;Feiners;dill-dij;0;0;0;2;0;2;Col.lisió de vehicles en marxa;Carretera convencional;2;2023;3;Carretera;Per Coordenades;Encalç;2;8;3;Alt Penedes;Sec i net;De dia, dia fosc;No n'hi ha;NA;NA;NA;No;Vent moderat;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0391291.80,4579299.95;391291;4579299;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023041098"" target=""_blank"">Informe SIDAT</a>";;391291;4579299
29;2023011135;Accidents tancats;000958/23/ARTMNORD;Accident lleu;de març 24, 2023;10.37;Barcelona;Carretera;BV-1462;9;8928;SANT CUGAT DEL VALLES;0;;99;9;1;422322;4588168;;;BV-1462;9+1;Feiners;div;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;5;Carretera;Per Coordenades;Resta sortides de via;1;8;40;Valles Occidental;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0422322.92,4588168.72;422322;4588168;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023011135"" target=""_blank"">Informe SIDAT</a>";;422322;4588168
30;2023021635;Accidents tancats;001672/23/ARTCENTRAL;Accident lleu;de juny 15, 2023;13.53;Barcelona;Carretera;BV-5225;1.4;1398;MASIES DE VOLTREGA,LES;0;;99;1;391;437645;4655096;;;BV-5225;1+391;Feiners;dill-dij;0;0;0;2;3;4;Col.lisió de vehicles en marxa;Carretera convencional;5;2023;4;Carretera;Per Coordenades;Encalç;2;8;24;Osona;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0437645.45,4655096.71;437645;4655096;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023021635"" target=""_blank"">Informe SIDAT</a>";;437645;4655096
31;2023025284;Accidents tancats;002530/23/ARTMNORD;Accident lleu;de juliol 28, 2023;13.04;Barcelona;Carretera;BV-5001;6.1;6098;MONTCADA I REIXAC;0;;99;6;96;432536;4591638;;;BV-5001;6+96;Feiners;div;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;5;Carretera;Per Coordenades;Caiguda en la via;1;8;40;Valles Occidental;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Vent moderat;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0432536.96,4591638.65;432536;4591638;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023025284"" target=""_blank"">Informe SIDAT</a>";;432536;4591638
